Designator,Footprint,Quantity,Value,LCSC Part #
AE1,U.FL_Molex_MCRF_73412-0110_Vertical,1,Antenna_Shield,
"C1, C14, C15, C16, C17, C2, C3, C4, C5, C6, C7, C8",0805,12,1uF,C28323
"C10, C11, C12, C9",0805,4,4.7uF 50V_US,C162420
"C13, C19, C20",0805,3,100nF,C49678
C18,CP_EIA-3528-21_Kemet-B,1,220uF,
"C21, C22, C26",0805,3,100nF,
C23,0805,1,4u7F,
C24,0805,1,220nF,
C25,0603,1,100nF,
"D1, D13, D14, D2, D3, D4",D_SOD-123,6,MBR0530,
"D10, D11, D12, D5, D6, D7, D8, D9",MX_SK6812MINI-E,8,SK6812MINI-E,
"H1, H2",MountingHole_3.2mm_M3,2,MountingSwitch,
J1,FPC-SMD_P0.50-24P_QCHF-SM-H2.0,1,AFC24-S24FIC-00,C262292
J10,PinHeader_1x02_P2.00mm_Vertical,1,Conn_01x02_Pin,
J11,JST_GH_SM02B-GHS-TB_1x02-1MP_P1.25mm_Horizontal,1,Conn_01x02_Pin,
J12,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07_Pin,
J13,TF-SMD_XKTF-0803-0,1,Micro_SD_Card_Det_US,
"J2, J3, J8",PinHeader_1x06_P2.54mm_Vertical,3,Conn_01x06,
J4,FFC-SMD_6P-P0.50_FH34SRJ-6S-0.5SH,1,TochConn,C224194
"J5, J9",PinHeader_1x03_P2.54mm_Vertical,2,Conn_01x03_Pin,
J6,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05_Pin,
J7,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
JOG,JogWheel,1,jogdial,
JP1,SW-SMD_G-SWITCH_MK-12C02-G015,1,RESE,C2911519
JP10,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,1,Jumper_2_Open,
"JP11, JP2, JP3, JP5",SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,4,Jumper_2_Bridged,
"JP12, JP14, JP4, JP8",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,4,Jumper_2_Open,
"JP13, JP9",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,2,Jumper_2_Bridged,
"JP6, JP7",SolderJumper-3_P1.3mm_Bridged12_RoundedPad1.0x1.5mm_NumberLabels,2,Jumper_3_Bridged12,
L1,IND-SMD_L4.0-W4.0,1,10uH,
Q1,SOT-323_SC-70,1,Si1308,
"Q2, Q3",SOT-23,2,Si2301,
"R1, R10, R12, R14, R15, R17, R18, R19, R2, R25, R28, R4, R5, R8, R9",0805,15,10K,C17414
"R11, R40",0805,2,0.47R,
"R13, R27, R7",0805,3,5k11,C27834
"R16, R24, R29, R30",0603,4,N.C.,
R20,0805,1,N.C.,
"R21, R22",0805,2,0R,C17477
R23,R_LDR_10x8.5mm_P7.6mm_Vertical,1,LDR03,
R26,0805,1,800K,
R3,0805,1,3R,
R31,0805,1,100K,
R32,0805,1,330k,
R33,0603,1,100K,
"R34, R35, R36, R37, R38, R39",0603,6,10k,
R6,0805,1,220K,
"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8, SW9",SW-SMD_4P-CORR-L5.2-W5.2-P3.70-LS6.4,9,SW_Push,
"TP1, TP13, TP7, TP9",TestPoint_Pad_D1.5mm,4,VCOM,
TP10,PinHeader_1x01_P2.54mm_Vertical,1,VCOM,
TP11,TestPoint_Pad_D1.5mm,1,SHOT,
TP12,TestPoint_Pad_D1.0mm,1,VCOM,
TP14,TestPoint_Pad_D1.5mm,1,RESET_TOUCH,
TP15,TestPoint_Pad_D1.0mm,1,M-,
TP16,TestPoint_Pad_D1.0mm,1,M+,
TP2,TestPoint_Pad_D1.5mm,1,CLKOUT,
TP3,TestPoint_Pad_D1.5mm,1,SHOT1,
TP4,TestPoint_Pad_D1.5mm,1,PREVGL,
TP5,TestPoint_Pad_D1.5mm,1,PREVGH,
TP6,TestPoint_Pad_D1.5mm,1,DONE,
TP8,TestPoint_Pad_D1.5mm,1,SHOT IN,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N8,
U10,TQFN-16_L3.0-W3.0-P0.50-BL-EP1.5,1,MAX98357,
U11,LGA-16_3x3mm_P0.5mm,1,MMC5883MA,
"U12, U14",SW-SMD_SIQ-02FVS3_1,2,SIQ-02FVS3,
"U13, U16",Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,2,BME280,
U15,ZMOD4410AI1V,1,4410AI1V,
U17,HVSSOP-10-1EP_3x3mm_P0.5mm_EP1.57x1.88mm,1,DRV8830DGQR,
U2,SOT-23-5,1,RT9013,C47773
U3,USB-C_SMD-TYPE-C-31-M-12,1,KoreanHropartsElecTYPE-C-31-M-12,C165948
U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,TP4065,C113540
U5,LGA-8_L3.0-W3.0-P0.80-TR,1,BME680,C125972
U6,SOT-23-6,1,TPL5110,C125830
U7,HOPERF_RFM9XW_SMD,1,RFM95W-868S2,C2844472
U8,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,LSM6DSOWTR, C2829074
U9,rv3028,1,RV3032,
