Designator,Mid X,Mid Y,Rotation,Layer
AE1,137.8,-72.1,0.0,top
C1,142.1,-85.2,90.0,top
C10,152.7,-88.5,180.0,top
C11,156.5875,-88.5,0.0,top
C12,152.5,-97.9,180.0,top
C13,115.1636,-101.854,0.0,top
C14,114.0206,-113.8936,0.0,top
C15,122.25,-107.0,90.0,top
C16,159.0625,-122.725,0.0,top
C17,154.725,-118.7375,270.0,top
C18,134.0,-80.3,180.0,top
C19,114.6,-88.0,180.0,top
C2,134.5125,-83.05,0.0,top
C20,130.8,-72.8,90.0,top
C21,114.4,-86.2,0.0,bottom
C22,117.375,-85.9,90.0,bottom
C23,128.275,-83.75,180.0,bottom
C24,132.2,-82.625,270.0,bottom
C25,142.6,-77.0,270.0,bottom
C26,132.04,-79.69,180.0,bottom
C3,151.55,-85.0,90.0,top
C4,154.75,-85.65,180.0,top
C5,149.1,-90.8,180.0,top
C6,156.19,-71.7425,270.0,top
C7,151.275,-95.775,180.0,top
C8,149.3,-86.1,90.0,top
C9,158.4,-71.73,270.0,top
D1,154.15,-90.85,180.0,top
D10,164.2,-57.1,0.0,bottom
D11,104.0,-100.0,270.0,bottom
D12,169.4,-100.0,90.0,bottom
D13,108.5,-112.0,0.0,top
D14,118.2,-113.95,270.0,bottom
D2,156.55,-93.95,180.0,top
D3,151.65,-93.45,0.0,top
D4,134.83,-76.27,90.0,top
D5,104.0,-62.0,270.0,bottom
D6,103.0,-117.1,270.0,bottom
D7,169.35,-76.7,90.0,bottom
D8,103.920001,-76.7,270.0,bottom
D9,169.4,-117.1,90.0,bottom
J1,146.35,-78.2,0.0,top
J10,121.75,-90.6,0.0,top
J11,112.05,-115.2,270.0,bottom
J12,119.32,-101.225,180.0,top
J13,148.87,-71.2,180.0,bottom
J2,125.425,-111.375,180.0,top
J3,157.7,-108.7,0.0,top
J4,119.4,-89.0,180.0,top
J5,143.3,-95.6,325.0,top
J6,129.25,-112.045,180.0,top
J7,128.0,-76.6,90.0,top
J8,154.05,-108.7,0.0,top
J9,137.408603,-91.387713,325.0,top
JOG,168.5,-108.9,270.0,top
JP1,130.27,-93.74,0.0,top
L1,156.65,-98.05,270.0,top
Q1,138.28,-84.64,0.0,top
Q2,115.5446,-106.7816,180.0,top
Q3,121.3,-116.2,0.0,bottom
R1,134.6,-85.2,180.0,top
R10,115.5,-92.75,0.0,top
R11,128.87,-89.5,0.0,top
R12,124.25,-84.0,0.0,top
R13,117.75,-116.325,0.0,top
R14,160.7,-118.56,270.0,top
R15,160.025,-114.425,270.0,top
R16,147.1,-96.6,270.0,top
R17,158.7,-118.8,270.0,top
R18,111.3282,-104.8512,0.0,top
R19,115.0874,-103.8098,0.0,top
R2,113.825,-115.925,180.0,top
R20,129.6,-79.45,0.0,top
R21,114.0,-76.25,270.0,top
R22,116.2,-76.25,90.0,top
R23,164.5,-96.6,0.0,bottom
R24,159.675,-106.725,90.0,top
R25,126.7,-80.7,90.0,top
R26,117.46,-123.9,0.0,bottom
R27,120.8,-123.0,90.0,bottom
R28,117.5,-118.0,0.0,bottom
R29,122.75,-114.075,0.0,bottom
R3,132.6,-88.1,90.0,top
R30,122.45,-112.6,0.0,bottom
R31,114.275,-90.75,180.0,bottom
R32,114.3,-88.15,180.0,bottom
R33,121.45,-101.4175,90.0,top
R34,150.19,-77.0,90.0,bottom
R35,148.45,-77.0,90.0,bottom
R36,146.47,-77.0,270.0,bottom
R37,152.5,-76.98,90.0,bottom
R38,144.43,-77.0,270.0,bottom
R39,154.39,-76.99,90.0,bottom
R4,156.7,-118.8,90.0,top
R40,114.83,-109.31,180.0,bottom
R5,122.6,-72.2,90.0,top
R6,114.6,-111.5314,180.0,top
R7,121.47,-116.5606,0.0,top
R8,125.0,-91.2,0.0,top
R9,129.5,-81.7,0.0,top
SW1,110.0,-68.0,90.0,bottom
SW2,110.0,-82.6,270.0,bottom
SW3,110.0,-106.5,90.0,bottom
SW4,109.0,-121.5,180.0,bottom
SW5,144.625,-116.65,270.0,bottom
SW6,164.525,-122.0,180.0,bottom
SW7,164.5,-106.5,270.0,bottom
SW8,164.0,-82.5,270.0,bottom
SW9,164.0,-68.0,90.0,bottom
TP10,137.8,-74.475,0.0,bottom
U1,142.476,-112.95,180.0,top
U10,118.175,-89.952,90.0,bottom
U11,128.3,-80.75,270.0,bottom
U12,162.786865,-119.406815,135.0,bottom
U13,126.675,-72.0,180.0,bottom
U14,164.27,-64.983608,0.0,top
U15,124.35,-100.03,0.0,top
U16,119.975,-76.595,270.0,top
U17,115.09,-103.03,90.0,bottom
U2,120.325,-113.55,180.0,top
U3,118.275,-121.725,0.0,top
U4,118.1,-121.3,180.0,bottom
U5,126.6,-72.6,0.0,top
U6,111.4298,-108.077,270.0,top
U7,144.5,-88.3,90.0,bottom
U8,114.75,-82.0875,270.0,top
U9,128.35,-84.8,0.0,top
